TMDB ID,Title,Show,Rating,Processed Rating,Release Year,Release Month,Cast,Plot Summary
1053815,Droids in Distress,Star Wars Rebels,7.407,3.7035,2014,10,"[{'name': 'Freddie Prinze Jr.', 'character': 'Kanan Jarrus (voice)', 'gender': 2}, {'name': 'Taylor Gray', 'character': 'Ezra Bridger (voice)', 'gender': 2}, {'name': 'Vanessa Marshall', 'character': 'Hera Syndulla (voice)', 'gender': 1}, {'name': 'Tiya Sircar', 'character': 'Sabine Wren (voice)', 'gender': 1}, {'name': 'Dave Filoni', 'character': ""C1-10P 'Chopper' (voice) (uncredited)"", 'gender': 2}, {'name': 'Steve Blum', 'character': ""Garazeb 'Zeb' Orrelios (voice)"", 'gender': 2}]","A young con artist named Ezra Bridger, living on the occupied planet Lothal, stumbles upon a small band of rebels led by the Jedi Kanan Jarrus and pilot Hera Syndulla. Ezra, unknowingly Force-sensitive, is reluctantly drawn into their fight against the Galactic Empire and begins his training as a Jedi Padawan under Kanan. The episode establishes the core crew of the Ghost, their motivations, and the initial conflict they face against the oppressive Imperial forces.
"
1053814,Fighter Flight,Star Wars Rebels,7.077,3.5385,2014,10,"[{'name': 'Freddie Prinze Jr.', 'character': 'Kanan Jarrus (voice)', 'gender': 2}, {'name': 'Taylor Gray', 'character': 'Ezra Bridger (voice)', 'gender': 2}, {'name': 'Vanessa Marshall', 'character': 'Hera Syndulla (voice)', 'gender': 1}, {'name': 'Tiya Sircar', 'character': 'Sabine Wren (voice)', 'gender': 1}, {'name': 'Dave Filoni', 'character': ""C1-10P 'Chopper' (voice) (uncredited)"", 'gender': 2}, {'name': 'Steve Blum', 'character': ""Garazeb 'Zeb' Orrelios (voice)"", 'gender': 2}]","The crew of the Ghost attempts to sell stolen weapons to a crime lord named Vizago. However, the deal goes south when they discover Vizago is working with the Empire, and a group of Lasat are being held captive. The crew, led by Kanan Jarrus, must rescue the Lasat and escape both Vizago's thugs and the Imperial forces.
"
1010972,Rise of the Old Masters,Star Wars Rebels,7.933,3.9665,2014,10,"[{'name': 'Freddie Prinze Jr.', 'character': 'Kanan Jarrus (voice)', 'gender': 2}, {'name': 'Taylor Gray', 'character': 'Ezra Bridger (voice)', 'gender': 2}, {'name': 'Vanessa Marshall', 'character': 'Hera Syndulla (voice)', 'gender': 1}, {'name': 'Tiya Sircar', 'character': 'Sabine Wren (voice)', 'gender': 1}, {'name': 'Dave Filoni', 'character': ""C1-10P 'Chopper' (voice) (uncredited)"", 'gender': 2}, {'name': 'Steve Blum', 'character': ""Garazeb 'Zeb' Orrelios (voice)"", 'gender': 2}]","Ezra, still unsure of his place with the Rebels, struggles to work as a team during a mission to steal vital supplies from the Empire. His impulsiveness and lack of discipline risk jeopardizing the entire operation, forcing Kanan to teach him a lesson about trust and the importance of working together.
"
1014544,Breaking Ranks,Star Wars Rebels,7.8,3.9,2014,10,"[{'name': 'Freddie Prinze Jr.', 'character': 'Kanan Jarrus (voice)', 'gender': 2}, {'name': 'Taylor Gray', 'character': 'Ezra Bridger (voice)', 'gender': 2}, {'name': 'Vanessa Marshall', 'character': 'Hera Syndulla (voice)', 'gender': 1}, {'name': 'Tiya Sircar', 'character': 'Sabine Wren (voice)', 'gender': 1}, {'name': 'Dave Filoni', 'character': ""C1-10P 'Chopper' (voice) (uncredited)"", 'gender': 2}, {'name': 'Steve Blum', 'character': ""Garazeb 'Zeb' Orrelios (voice)"", 'gender': 2}]","In Star Wars Rebels, Season 1, Episode 4, ""Rise of the Old Masters,"" the Ghost crew hears rumors of a Jedi Master, Luminara Unduli, still alive and imprisoned on Stygeon Prime. Hoping to find her and receive training, Kanan and Ezra venture to the planet, unaware that it's a trap set by the Inquisitor. They discover that Luminara is long dead and the Empire is using her remains to lure and capture Jedi hopefuls. Kanan and Ezra narrowly escape with their lives.
"
1014545,Out of Darkness,Star Wars Rebels,7.6,3.8,2014,10,"[{'name': 'Freddie Prinze Jr.', 'character': 'Kanan Jarrus (voice)', 'gender': 2}, {'name': 'Taylor Gray', 'character': 'Ezra Bridger (voice)', 'gender': 2}, {'name': 'Vanessa Marshall', 'character': 'Hera Syndulla (voice)', 'gender': 1}, {'name': 'Tiya Sircar', 'character': 'Sabine Wren (voice)', 'gender': 1}, {'name': 'Dave Filoni', 'character': ""C1-10P 'Chopper' (voice) (uncredited)"", 'gender': 2}, {'name': 'Steve Blum', 'character': ""Garazeb 'Zeb' Orrelios (voice)"", 'gender': 2}]","In ""Rise of the Old Masters,"" the Ghost crew receives a coded message claiming that Jedi Master Luminara Unduli is still alive and held in a secret Imperial prison. Eager to learn from a legendary Jedi, Kanan and Ezra embark on a rescue mission. However, they soon discover that Luminara isn't who, or where, they expect, and are forced to confront a deadly Imperial trap orchestrated by the sinister Inquisitor.
"
1014546,Empire Day,Star Wars Rebels,7.88,3.94,2014,10,"[{'name': 'Freddie Prinze Jr.', 'character': 'Kanan Jarrus (voice)', 'gender': 2}, {'name': 'Taylor Gray', 'character': 'Ezra Bridger (voice)', 'gender': 2}, {'name': 'Vanessa Marshall', 'character': 'Hera Syndulla (voice)', 'gender': 1}, {'name': 'Tiya Sircar', 'character': 'Sabine Wren (voice)', 'gender': 1}, {'name': 'Dave Filoni', 'character': ""C1-10P 'Chopper' (voice) (uncredited)"", 'gender': 2}, {'name': 'Steve Blum', 'character': ""Garazeb 'Zeb' Orrelios (voice)"", 'gender': 2}]","Ezra, feeling inadequate compared to the rest of the crew, makes a deal with a shady alien to enhance his Force abilities. This leads to him impulsively using the Force to steal a powerful kyber crystal. However, the crystal is unstable and endangers the *Ghost* crew, forcing Ezra to learn control and humility while working with Kanan to safely return the crystal.
"
1014547,Gathering Forces,Star Wars Rebels,8.12,4.06,2014,10,"[{'name': 'Freddie Prinze Jr.', 'character': 'Kanan Jarrus (voice)', 'gender': 2}, {'name': 'Taylor Gray', 'character': 'Ezra Bridger (voice)', 'gender': 2}, {'name': 'Vanessa Marshall', 'character': 'Hera Syndulla (voice)', 'gender': 1}, {'name': 'Tiya Sircar', 'character': 'Sabine Wren (voice)', 'gender': 1}, {'name': 'Dave Filoni', 'character': ""C1-10P 'Chopper' (voice) (uncredited)"", 'gender': 2}, {'name': 'Steve Blum', 'character': ""Garazeb 'Zeb' Orrelios (voice)"", 'gender': 2}]","Ezra stows away on a supply transport bound for the Imperial Academy on Lothal, hoping to retrieve stolen data. While there, he befriends two Imperial cadets, Jai Kell and Zare Leonis, who are also disillusioned with the Empire. Together, they work to expose corruption within the Academy, revealing that the Empire is aware of the rebel activities on Lothal. Ezra retrieves the data and escapes with Jai, leaving Zare behind to continue his investigation from within the Empire.
"
1033050,Path of the Jedi,Star Wars Rebels,8.64,4.32,2014,10,"[{'name': 'Freddie Prinze Jr.', 'character': 'Kanan Jarrus (voice)', 'gender': 2}, {'name': 'Taylor Gray', 'character': 'Ezra Bridger (voice)', 'gender': 2}, {'name': 'Vanessa Marshall', 'character': 'Hera Syndulla (voice)', 'gender': 1}, {'name': 'Tiya Sircar', 'character': 'Sabine Wren (voice)', 'gender': 1}, {'name': 'Dave Filoni', 'character': ""C1-10P 'Chopper' (voice) (uncredited)"", 'gender': 2}, {'name': 'Steve Blum', 'character': ""Garazeb 'Zeb' Orrelios (voice)"", 'gender': 2}]","In ""Path of the Jedi,"" Kanan takes Ezra to an ancient Jedi temple on Lothal, hoping to further his training. They face trials designed to test Ezra's fears and doubts, ultimately forcing him to confront his past and his potential future. The Inquisitor arrives, intent on capturing Ezra and learning the temple's secrets. Ezra and Kanan must work together to escape, with Ezra proving his connection to the Force and his willingness to dedicate himself to the Jedi path.
"
1034914,Idiot's Array,Star Wars Rebels,7.72,3.86,2014,10,"[{'name': 'Freddie Prinze Jr.', 'character': 'Kanan Jarrus (voice)', 'gender': 2}, {'name': 'Taylor Gray', 'character': 'Ezra Bridger (voice)', 'gender': 2}, {'name': 'Vanessa Marshall', 'character': 'Hera Syndulla (voice)', 'gender': 1}, {'name': 'Tiya Sircar', 'character': 'Sabine Wren (voice)', 'gender': 1}, {'name': 'Dave Filoni', 'character': ""C1-10P 'Chopper' (voice) (uncredited)"", 'gender': 2}, {'name': 'Steve Blum', 'character': ""Garazeb 'Zeb' Orrelios (voice)"", 'gender': 2}]","Ezra inadvertently transmits a distress signal that attracts a group of Lasat warriors, believed to be extinct. However, one of them, Gronk, is revealed to be a ruthless bounty hunter seeking to collect a reward for capturing the Ghost crew. The crew must overcome Gronk and his droids to escape, while Kanan grapples with the possibility that the Lasat are not entirely extinct.
"
1041354,Vision of Hope,Star Wars Rebels,7.8,3.9,2014,10,"[{'name': 'Freddie Prinze Jr.', 'character': 'Kanan Jarrus (voice)', 'gender': 2}, {'name': 'Taylor Gray', 'character': 'Ezra Bridger (voice)', 'gender': 2}, {'name': 'Vanessa Marshall', 'character': 'Hera Syndulla (voice)', 'gender': 1}, {'name': 'Tiya Sircar', 'character': 'Sabine Wren (voice)', 'gender': 1}, {'name': 'Dave Filoni', 'character': ""C1-10P 'Chopper' (voice) (uncredited)"", 'gender': 2}, {'name': 'Steve Blum', 'character': ""Garazeb 'Zeb' Orrelios (voice)"", 'gender': 2}]","The crew of the Ghost, running low on fuel, decide to raid a fuel depot on Lothal controlled by the Empire. Hera hopes to secure enough fuel for their growing rebellion. The mission proves more dangerous than anticipated when they encounter an upgraded Imperial TIE fighter prototype and are forced to engage in a daring dogfight.
"
